#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 03 24 15 04  80  8.0 10.0   1.5     5    MM  MM 1025.6   1.6   4.3    MM  1.6   MM    MM
2016 03 24 14 04  40  9.0 11.0   1.4     5    MM  MM 1026.0   1.2   4.2    MM  1.6   MM    MM
2016 03 24 13 04  50  9.0 11.0   1.5     5    MM  MM 1025.4   1.4   4.2    MM  1.6   MM    MM
2016 03 24 12 04  50 10.0 11.0   1.4     5    MM  MM 1025.7   1.3   4.2    MM  1.6   MM    MM
2016 03 24 11 04  50 10.0 12.0   1.4     5    MM  MM 1025.3   1.4   4.3    MM  1.6   MM    MM
2016 03 24 10 04  50 10.0 12.0   1.1     4    MM  MM 1024.6   1.8   4.3    MM  1.6   MM    MM
2016 03 24 09 04  50  9.0 10.0   1.0     4    MM  MM 1023.9   2.0   4.4    MM  1.6   MM    MM
2016 03 24 08 04  50  8.0 10.0   0.9     4    MM  MM 1023.2   2.5   4.4    MM  1.6   MM    MM
2016 03 24 07 04  50  8.0 10.0   0.9     4    MM  MM 1022.8   3.0   4.3    MM  1.6   MM    MM
2016 03 24 06 04  40  8.0  9.0   0.8     4    MM  MM 1022.7   3.6   4.2    MM  1.6   MM    MM
2016 03 24 05 04  40  8.0  9.0   0.7     3    MM  MM 1022.5   4.0   4.2    MM  1.6   MM    MM
2016 03 24 04 04  40  6.0  7.0   0.6     6    MM  MM 1021.5   4.6   4.2    MM  1.6   MM    MM
2016 03 24 03 04  20  1.0  1.0   0.5     5    MM  MM 1021.0   4.2   4.2    MM  1.6   MM    MM
2016 03 24 02 04 240  1.0  2.0   0.5     6    MM  MM 1020.4   4.2   4.2    MM  1.6   MM    MM
2016 03 24 01 04 290  2.0  2.0   0.6     8    MM  MM 1019.6   4.4   4.2    MM  1.6   MM    MM
2016 03 24 00 04  80  3.0  3.0   0.5     5    MM  MM 1018.8   4.7   4.2    MM  1.6   MM    MM
2016 03 23 23 04  70  4.0  4.0   0.6     5    MM  MM 1017.8   4.6   4.3    MM  1.6   MM    MM
2016 03 23 22 04  70  5.0  6.0   0.8     5    MM  MM 1016.3   4.6   4.3    MM  1.6   MM    MM
2016 03 23 21 04  60  7.0  8.0   0.8     3    MM  MM 1015.1   4.6   4.3    MM  1.6   MM    MM
2016 03 23 20 04  60  8.0  9.0   1.0     3    MM  MM 1014.1   4.8   4.3    MM  1.6   MM    MM
2016 03 23 19 04  50  8.0  9.0   0.9     3    MM  MM 1013.3   5.4   4.3    MM  1.6   MM    MM
2016 03 23 18 04  50  7.0  8.0   0.9     5    MM  MM 1012.2   5.3   4.4    MM  1.6   MM    MM
2016 03 23 17 04  40  4.0  8.0   0.8     5    MM  MM 1011.4   6.0   4.5    MM  1.6   MM    MM
2016 03 23 16 04  90  2.0  2.0   0.8     5    MM  MM 1010.8   6.4   4.4    MM  1.6   MM    MM
2016 03 23 15 04 190  1.0  1.0   0.9     5    MM  MM 1010.7   5.8   4.3    MM  1.6   MM    MM
2016 03 23 14 04 200  4.0  4.0   0.8     5    MM  MM 1010.3   5.5   4.2    MM  1.6   MM    MM
2016 03 23 13 04 180  4.0  4.0   0.9     5    MM  MM 1010.0   5.2   4.2    MM  1.6   MM    MM
2016 03 23 12 04 200  5.0  6.0   0.9     5    MM  MM 1009.9   5.6   4.3    MM  1.6   MM    MM
2016 03 23 11 04 200  5.0  6.0   1.1     5    MM  MM 1009.5   5.6   4.3    MM  1.6   MM    MM
2016 03 23 10 04 200  6.0  7.0   1.0     5    MM  MM 1009.3   5.6   4.3    MM  1.6   MM    MM
2016 03 23 09 04 200  5.0  6.0   1.3     5    MM  MM 1010.0   5.5   4.2    MM  1.6   MM    MM
2016 03 23 08 04 200  5.0  6.0   1.2     5    MM  MM 1010.7   5.1   4.2    MM  1.6   MM    MM
2016 03 23 07 04 210  7.0  9.0   1.0     5    MM  MM 1011.5   5.1   4.2    MM  1.6   MM    MM
2016 03 23 06 04 200  8.0 10.0   1.0     5    MM  MM 1012.4   4.9   4.2    MM  1.6   MM    MM
2016 03 23 05 04 200  8.0 10.0   0.9     4    MM  MM 1012.9   4.9   4.2    MM  1.6   MM    MM
2016 03 23 04 04 200  8.0 10.0   0.8     4    MM  MM 1014.0   5.1   4.2    MM  1.6   MM    MM
2016 03 23 03 04 210  9.0 10.0   0.5     3    MM  MM 1014.4   5.5   4.2    MM  1.6   MM    MM
2016 03 23 02 04 180  4.0  4.0   0.2    MM    MM  MM 1014.5   5.1   4.2    MM  1.6   MM    MM
2016 03 23 01 04 210  4.0  4.0    MM    MM    MM  MM 1015.0   5.3   4.2    MM  1.6   MM    MM
2016 03 23 00 04 210  3.0  3.0   0.4     3    MM  MM 1015.0   5.0   4.3    MM  1.6   MM    MM
2016 03 22 23 04 260  6.0  7.0   0.5     3    MM  MM 1014.6   6.4   4.3    MM  1.6   MM    MM
2016 03 22 22 04 260  7.0  9.0   0.5     3    MM  MM 1014.2   6.9   4.4    MM  1.3   MM    MM
2016 03 22 21 04 270  5.0  6.0   0.5     3    MM  MM 1014.1   6.7   4.4    MM  1.4   MM    MM
2016 03 22 20 04 280  7.0 10.0   0.5     3    MM  MM 1014.1   6.1   4.4    MM  1.6   MM    MM
2016 03 22 19 04 240  5.0  7.0   0.5     3    MM  MM 1014.3   5.0   4.4    MM  1.6   MM    MM
2016 03 22 18 04 250  7.0  9.0   0.6     3    MM  MM 1014.9   4.0   4.3    MM  1.6   MM    MM
2016 03 22 17 04 270  7.0  9.0   0.7     3    MM  MM 1015.7   3.1   4.3    MM  1.6   MM    MM
2016 03 22 16 04 290  8.0 11.0   0.8     4    MM  MM 1016.0   2.3   4.2    MM  1.6   MM    MM
2016 03 22 15 04 270 10.0 12.0   0.9     4    MM  MM 1016.3   1.6   4.2    MM  1.6   MM    MM
2016 03 22 14 04 290  9.0 12.0   0.8     4    MM  MM 1016.3   0.8   4.2    MM  1.6   MM    MM
2016 03 22 13 04 290 10.0 12.0   0.8     3    MM  MM 1015.7   0.4   4.1    MM  1.5   MM    MM
2016 03 22 12 04 280  8.0 10.0   0.9     4    MM  MM 1015.2   0.2   4.1    MM  1.5   MM    MM
2016 03 22 11 04 290 10.0 13.0   0.9     3    MM  MM 1014.2   0.3   4.1    MM  1.4   MM    MM
2016 03 22 10 04 290  8.0 10.0   0.7     3    MM  MM 1013.2   0.5   4.1    MM  1.6   MM    MM
2016 03 22 09 04 290 10.0 13.0   0.7     3    MM  MM 1012.1   1.0   4.2    MM  1.6   MM    MM
2016 03 22 08 04 280  9.0 11.0   0.6     3    MM  MM 1011.3   1.3   4.2    MM  1.6   MM    MM
2016 03 22 07 04 280  9.0 10.0   0.6     3    MM  MM 1010.5   1.8   4.2    MM  1.6   MM    MM
2016 03 22 06 04 280  8.0 10.0   0.6     3    MM  MM 1010.0   2.2   4.2    MM  1.6   MM    MM
2016 03 22 05 04 280  8.0 10.0   0.6     3    MM  MM 1009.2   2.4   4.2    MM  1.6   MM    MM
2016 03 22 04 04 280  8.0  9.0   1.0     8    MM  MM 1008.8   2.6   4.3    MM  1.6   MM    MM
2016 03 22 03 04 280  8.0  9.0   1.0     6    MM  MM 1008.1   2.8   4.3    MM  1.6   MM    MM
2016 03 22 02 04 300  7.0  8.0   1.3     8    MM  MM 1007.7   3.1   4.4    MM  1.6   MM    MM
2016 03 22 01 04 310  8.0 10.0   1.3     8    MM  MM 1006.9   3.5   4.5    MM  1.6   MM    MM
2016 03 22 00 04 300 11.0 12.0   1.3     8    MM  MM 1005.5   4.2   4.5    MM  1.6   MM    MM
2016 03 21 23 04 290 10.0 12.0   1.2     8    MM  MM 1004.3   4.8   4.5    MM  1.6   MM    MM
2016 03 21 22 04 150  3.0  3.0   1.1     8    MM  MM 1003.5   4.0   4.5    MM  1.5   MM    MM
2016 03 21 21 04  50  1.0  1.0   0.9     6    MM  MM 1003.3   5.3   4.5    MM  1.6   MM    MM
2016 03 21 20 04 310  5.0  6.0   1.1     6    MM  MM 1003.7   3.7   4.5    MM  1.6   MM    MM
2016 03 21 19 04 310  5.0  7.0   1.0     8    MM  MM 1003.9   2.6   4.4    MM  1.6   MM    MM
2016 03 21 18 04 320  7.0  8.0   0.9     6    MM  MM 1004.2   1.2   4.4    MM  1.6   MM    MM
2016 03 21 17 04 330  6.0  8.0   0.9     5    MM  MM 1004.8  -0.1   4.3    MM  1.6   MM    MM
2016 03 21 16 04 320  6.0  8.0   0.9     4    MM  MM 1005.4  -1.0   4.2    MM  1.3   MM    MM
2016 03 21 15 04 320  6.0  8.0   0.9     4    MM  MM 1006.3  -1.4   4.3    MM  1.1   MM    MM
2016 03 21 14 04 340  7.0  9.0   0.8     4    MM  MM 1006.5  -2.0   4.3    MM  0.9   MM    MM
2016 03 21 13 04 340  8.0  9.0   0.8     4    MM  MM 1007.1  -2.1   4.2    MM  1.5   MM    MM
2016 03 21 12 04 350  8.0 10.0   0.7     3    MM  MM 1007.9  -2.1   4.2    MM  0.8   MM    MM
